Pct.,Name,Combined Pcts.,Address,City,Date,Start Time,End Time,Zipcode,Latitude,Longitude,Area of the City,Type,Hours,EZVote Code,Election Code,Boss Code
202,Hancock Center,,"1000 East 41st Street, Suite #710 ",Austin,11/6/2012,7:00,19:00,78751,30.299815,-97.719698,C,ED,R,838,G12,74
424,HEB South Congress,,2400 South Congress Avenue ,Austin,11/6/2012,7:00,19:00,78704,30.239122,-97.755167,S,ED,R,836,G12,209
142,"Highland Mall, Suite #1390",,6001 Airport Boulevard ,Austin,11/6/2012,7:00,19:00,78752,30.325916,-97.713947,NC,ED,R,826,G12,58
332,Lamar Plaza Shopping Center,,1150 South Lamar Boulevard ,Austin,11/6/2012,7:00,19:00,78704,30.255041,-97.762463,S,ED,R,1234,G12,156
426,Parque Zaragoza Recreation Center,,2608 Gonzales Street ,Austin,11/6/2012,7:00,19:00,78728,30.26168,-97.712274,E,ED,R,1677,G12,212
350,Randalls Brodie,,9911 Brodie Lane ,Austin,11/6/2012,7:00,19:00,78748,30.184253,-97.848272,SW,ED,R,1846,G12,171
323,Randalls Research,,10900-D Research Boulevard ,Austin,11/6/2012,7:00,19:00,78759,30.401973,-97.746177,NE,ED,R,1841,G12,146
351,Randalls South Mopac,,6600 South Mopac Expressway,Austin,11/6/2012,7:00,19:00,78749,30.22278,-97.836277,SW,ED,R,1843,G12,173
207,RRISD Performing Arts Center,,5800 McNeil Drive ,Austin,11/6/2012,7:00,19:00,78729,30.447305,-97.736049,N,ED,R,1833,G12,79
329,Travis County Courthouse,,"1000 Guadalupe Street, 1st Floor ",Austin,11/6/2012,7:00,19:00,78701,30.272921,-97.7449,C,ED,R,2032,G12,153
